,SKU,,,Product Name
,HW2175MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=300
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1701GC,,,Linear Rail - MGN15 400mm + MGN15C carriage
1,HW201BRC,460,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,350,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
,,,,
,,,,
,SKU,,,Product Name
,HW2176MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=400
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1822GC,,,Linear Rail - MGN15 500mm + MGN15C carriage
1,HW201BRC,560,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,450,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
,,,,
,,,,
,SKU,,,Product Name
,HW2177MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=500
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1825GC,,,Linear Rail - MGN15 600mm + MGN15C carriage
1,HW201BRC,660,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,550,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
