,SKU,,,Product Name
,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
3,HW2128GC,,,Steel Ball - 12mm - Threaded M5
6,HW2126GC,,,Dowel Pin - 3.0mm x 35.0mm
3,HW2118WC,,,Thrust Bearing F8-16M
3,HW1018NC,,,Aluminium Spacer - 6mm
3,HW2349SC,,,Countersink Screw M5 (Single) (Length: 16mm)
8,HW1153SC,,,Low Profile Screw - 8mm (Single)
3,HW1155SC,,,Low Profile Screw - 15mm (Single)
23,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
2,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
2,HW1210SC,,,Cap Head Screw M5 (Single) (Length: 8mm)
5,HW1285SC,,,Cap Head Screw M5 (Single) (Length: 10mm)
12,HW1287SC,,,Cap Head Screw M5 (Single) (Length: 16mm)
6,HW1060SC,,,Cap Head Screw M5 (Single) (Length: 35mm)
16,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
27,HW1030NC,,,T-Nut - Drop In for 2020 - M5 (Single)
15,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
4,HW1083BC,,,Corner Connector - 90 Degree Angle
6,HW1126NC,,,Precision Shim - 10 x  5 x 1mm
3,HW2127GC,,,Magnet - 20 x 10 x 5mm - Two hole (M3 Countersink screws)
6,HW2137SC,,,Countersink Screw M3 (Single) (Length: 20mm)
8,HW1251NC,,,Hex Locking Nut - M3
,SKU,,,Product Name
,HW2175MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=300
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1701GC,,,Linear Rail - MGN15 400mm + MGN15C carriage
1,HW201BRC,460,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,350,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
,,,,
,,,,
,SKU,,,Product Name
,HW2176MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=400
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1822GC,,,Linear Rail - MGN15 500mm + MGN15C carriage
1,HW201BRC,560,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,450,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
,,,,
,,,,
,SKU,,,Product Name
,HW2177MK,,,V-Core Pro 1.3 Upgrade from 1.2: Z=500
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW1825GC,,,Linear Rail - MGN15 600mm + MGN15C carriage
1,HW201BRC,660,,V-SLOT 2020 - Black Anodized 1000mm
1,HW1647SC,550,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
,SKU,,,Product Name
,HW2181MK,,,V-Core Pro 1.3 Upgrade from 1.1: Z=300
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW2188MK,,,V-Core Pro 1.3 Upgrade: Common Parts from 1.1
2,HW1701GC,,,Linear Rail - MGN15 400mm + MGN15C carriage
1,HW1647SC,350,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
1,HW201BRC,394,,V-SLOT 2020 - Black Anodized 1000mm
1,HW201BRC,460,,V-SLOT 2020 - Black Anodized 1000mm
,,,,
,,,,
,SKU,,,Product Name
,HW2182MK,,,V-Core Pro 1.3 Upgrade from 1.1: Z=400
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
1,HW2188MK,,,V-Core Pro 1.3 Upgrade: Common Parts from 1.1
2,HW1822GC,,,Linear Rail - MGN15 500mm + MGN15C carriage
1,HW1647SC,450,,8mm Metric Acme Lead Screw - 1000mm - TR8*8
1,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
1,HW1001GC,,,Flexible Coupling - 5mm x 8mm
1,HW201BRC,494,,V-SLOT 2020 - Black Anodized 1000mm
1,HW201BRC,560,,V-SLOT 2020 - Black Anodized 1000mm
,,,,
,,,,
,SKU,,,Product Name
,HW2183MK,,,V-Core Pro 1.3 Upgrade from 1.1: Z=500
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2173MK,,,V-Core Pro 1.3 Upgrade: Base parts kit
